WBodyID,WaterBodyName,DataSource,StationID,StationName,Actual_StationID,Actual_Latitude,Actual_Longitude,DEP_WBID,SampleDate,ActivityDepth,DepthUnits,Parameter,Characteristic,Sample_Fraction,Result_Value,Result_Unit,QACode,Result_Comment,Original_Result_Value,Original_Result_Unit
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,4/4/2006 0:00,0.3,m,TN_mgl,Nitrogen,Total,0.95,mg/l,,"Water Institute Calculated: TKN + NOx - Value is known to be equal to or less than what is reported. TKN was detected, NOx was not.",,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,4/4/2006 0:00,0.3,m,TP_mgl,Phosphorus as P,Total,0.09,mg/l,,,0.09,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,5/25/2006 0:00,0.4,m,TN_mgl,Nitrogen,Total,0.79,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,5/25/2006 0:00,0.4,m,TP_mgl,Phosphorus as P,Total,0.14,mg/l,,,0.14,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,6/29/2006 0:00,0.5,m,TP_mgl,Phosphorus as P,Total,0.15,mg/l,,,0.15,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,6/29/2006 0:00,0.5,m,TN_mgl,Nitrogen,Total,1.19,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,7/26/2006 0:00,0.5,m,TN_mgl,Nitrogen,Total,1.18,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,7/26/2006 0:00,0.5,m,TP_mgl,Phosphorus as P,Total,0.18,mg/l,,,0.18,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,8/21/2006 0:00,0.4,m,TP_mgl,Phosphorus as P,Total,0.12,mg/l,,,0.12,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,8/21/2006 0:00,0.4,m,TN_mgl,Nitrogen,Total,0.9,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,9/5/2006 0:00,0.5,m,TP_mgl,Phosphorus as P,Total,0.11,mg/l,,,0.11,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,9/5/2006 0:00,0.5,m,TN_mgl,Nitrogen,Total,1.15,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,10/25/2006 0:00,0.25,m,TN_mgl,Nitrogen,Total,1.16,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,10/25/2006 0:00,0.25,m,TP_mgl,Phosphorus as P,Total,0.1,mg/l,,,0.1,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,11/13/2006 0:00,0.3,m,TP_mgl,Phosphorus as P,Total,0.1,mg/l,,,0.1,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,11/13/2006 0:00,0.3,m,TN_mgl,Nitrogen,Total,0.97,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,12/22/2006 0:00,0.4,m,TP_mgl,Phosphorus as P,Total,0.085,mg/l,,,0.085,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,12/22/2006 0:00,0.4,m,TN_mgl,Nitrogen,Total,0.74,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,1/3/2007 0:00,0.3,m,TN_mgl,Nitrogen,Total,0.98,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,1/3/2007 0:00,0.3,m,TP_mgl,Phosphorus as P,Total,0.098,mg/l,,,0.098,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,2/8/2007 0:00,0.5,m,TP_mgl,Phosphorus as P,Total,0.067,mg/l,,,0.067,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,2/8/2007 0:00,0.5,m,TN_mgl,Nitrogen,Total,1.11,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,3/7/2007 0:00,0.2,m,TN_mgl,Nitrogen,Total,0.9,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,3/7/2007 0:00,0.2,m,TP_mgl,Phosphorus as P,Total,0.11,mg/l,,,0.11,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,4/26/2007 0:00,0.5,m,TN_mgl,Nitrogen,Total,0.94,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,4/26/2007 0:00,0.5,m,TP_mgl,Phosphorus as P,Total,0.095,mg/l,,,0.095,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,5/15/2007 0:00,0.5,m,TP_mgl,Phosphorus as P,Total,0.17,mg/l,,,0.17,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,5/15/2007 0:00,0.5,m,TN_mgl,Nitrogen,Total,0.96,mg/l,,Water Institute Calculated: TKN + NOx,,
